dim,price,title,weight,rating
9.7 x 7.6 x 1.1 inches,$11.99,"[Luxurious Protection] iPad Air 2 Case, FYY Premium Leather Case Smart Auto Wake/Sleep Cover with Velcro Hand Strap, Card Slots, Pocket for iPad Air 2 Khaki",12 ounces,4.5 out of 5 stars
7.1 x 0.5 x 9.4 inches,$11.79,Afranker Ipad 2 / 3 / 4 Slim-Fit Folio Smart Four Fold Case Cover with Back Case With Afranker Cleaning Cloth Black,7 ounces,4 out of 5 stars
10 x 8 x 0.7 inches,$10.99,"Apple iPad 2/3/4 Case, CINEYO(TM) 360 Degree Rotating Stand Case Cover with Auto Sleep / Wake Feature for iPad 2/3/4(10 Colors)this case is for Apple iPad 2 3 4 (Black)",10.4 ounces,3.8 out of 5 stars
9.6 x 8.1 x 1.2 inches,$11.99,"IPad Case,IPad 2/3/4 Case,IDEGG® Fashion PU Leather Crown Design Bling Protective Smart Stand Case Cover with Auto Wake/Sleep (Pink, iPad 2/3/4)",10.4 ounces,4.6 out of 5 stars
9.3 x 8.2 x 0.5 inches,$10.99,"iPad Case,iPad 2/3/4 Case,BENTOBEN Silicone Plastic 3 in 1 Hybrid Shockproof & Drop Resistance Anti-slip cover for iPad Case iPad 2/3/4 Case(Polka Dot+Rose Red)",8.8 ounces,4 out of 5 stars
9.9 x 7.9 x 0.7 inches,$15.59,"iPad Case, iPad 2/3/4 Case, Dteck(TM) Cartoon Cute PU Leather [Kickstand] Flip Case with Cards Slots for Apple iPad 4 with Retina Display & iPad 2 & iPad 3 (02 Big Tree)",8.8 ounces,4.1 out of 5 stars
10.4 x 8.2 x 1.3 inches,$36.95,"iPad case, iPad keyboard case, New Trent Airbender 1.0 Wireless Bluetooth Clamshell iPad Keyboard Case w/ 360 Degree Rotation for iPad 4, iPad 3, iPad 2 ONLY - NOT for iPad Air, iPad Air 2",1.4 pounds,4.3 out of 5 stars
7.1 x 0.5 x 9.4 inches,$13.49,Afranker Ipad 2 / 3 / 4 Slim-Fit Folio Smart Four Fold Case Cover with Back Case With Afranker Cleaning Cloth Blue,7 ounces,4 out of 5 stars
9.9 x 7.4 x 0.9 inches,$11.99,HDE Rotating iPad Case Magnetic Folding Leather Cover Folio Flip Stand for Apple iPad 2 iPad 3 iPad 4 (Purple Embossed),10.4 ounces,3.8 out of 5 stars
10 x 8 x 0.9 inches,$9.99,"BENTOBEN Silicone Plastic Anti-slip Cover for iPad 2, 3, 4 - Mint Green & Rose Red",5.6 ounces,3.9 out of 5 stars
10.8 x 8.5 x 0.8 inches,$12.49,iQualite Case for iPad 4/3/2 - Kids Fun Play Silicone Portable Light Weight Shockproof Drop Proof Armor Protective Cover Case for Apple Ipad 4 Ipad 3 Ipad 2 Black/Red,10.9 ounces,4 out of 5 stars
10.2 x 8.7 x 7.1 inches,$12.99,"Bestdata Magnetic Smart Cover for Apple iPad 2 / iPad 3/ iPad 4 Bundle with Screen Protector, Cleaning Cloth & Stylus (Purple)",8.8 ounces,3.7 out of 5 stars
10.5 x 7.9 x 0.8 inches,$13.49,"Topsky NTECeaq Shock-Absorption Three Layer Armor Defender Full Body Protective Case for iPad 2, 3, 4 with Stylus and Screen Protector - Grey/Green",12 ounces,3.8 out of 5 stars
9.6 x 7.4 x 1.1 inches,$16.99,"Fintie 360 Degree Rotating Stand Smart Case Cover for iPad 4 with Retina Display, iPad 3 & iPad 2 (Purple)",8 ounces,4.3 out of 5 stars
9.5 x 7.5 x 0.8 inches,$13.99,"Fintie Folio PU Leather Case Cover for iPad 4th Generation With Retina Display, iPad 3 & iPad 2 (Black)",8.8 ounces,4.4 out of 5 stars
13.3 x 8.9 x 1.1 inches,$25.99,"iPad Case, Case-cubic Extreme Heavy Duty Full Body Rugged Hybrid Case with Smart Magnetic Sleep / Wake feature PU Leather Cover for iPad 2/iPad 3/iPad 4",14.4 ounces,3.5 out of 5 stars
9.8 x 7.6 x 0.6 inches,$13.49,"Topsky High Impact Resistant Hybrid Three Layer Armor Defender Full Body Protective Case for iPad 2/iPad 3/iPad 4 Bundle with Stylus Pen, Screen Protector & Cleaning Cloth - Grey Black",11.2 ounces,3.8 out of 5 stars
9.5 x 7.5 x 0.8 inches,$14.99,"Fintie (Purple) Folio Leather Case Cover for iPad 4th Generation With Retina Display, the New iPad 3 & iPad 2 (Built-in magnet for sleep / wake feature)-9 color options",9.6 ounces,4.4 out of 5 stars
9.6 x 0.3 x 6.9 inches,$19.99,"TRAVELLOR [Heavy Duty] iPad Case,Three Layer Armor Defender And Full Body Protective Case Cover With Kickstand And Screen Protector for iPad 2/3/4 - Blue/White",5 ounces,4.2 out of 5 stars
9.8 x 7.9 x 0.7 inches,$16.99,"Fintie Apple iPad 2/3/4 Case - 360 Degree Rotating Stand Smart Case Cover for iPad with Retina Display (iPad 4th Generation), the new iPad 3 & iPad 2 (Automatic Wake/Sleep Feature) - Black",10.4 ounces,4.3 out of 5 stars
